well_id,well_name,field_name,status,oil_type,depth_m,discovery_year,operator,lon,lat
IQ-OW-001,H-001,Halfaya,planned,light crude,2314,2011,Iraq Drilling Company,45.308811,33.714503
IQ-OW-002,H-002,Halfaya,active,sour crude,4769,1995,Midland Oil Company,45.897789,32.447780
IQ-OW-003,Q-003,Qayyarah,active,condensate,4056,1960,Basra Oil Company,42.375833,35.773699
IQ-OW-004,G-004,Gharraf,active,heavy crude,1563,1995,North Oil Company,43.290404,30.943349
IQ-OW-005,N-005,Nassiriya,active,condensate,1832,1988,Missan Oil Company,43.473071,33.386922
IQ-OW-006,Z-006,Zubair,active,light crude,3402,1939,Demo Petroleum Co,42.335373,32.866483
IQ-OW-007,N-007,Najmah,active,sour crude,3370,1948,Basra Oil Company,42.809007,29.129326
IQ-OW-008,N-008,Nassiriya,active,sour crude,2632,2014,Iraq Drilling Company,44.661911,35.929418
IQ-OW-009,K-009,Kirkuk,active,condensate,1299,2008,Basra Oil Company,47.715189,34.006089
IQ-OW-010,Z-010,Zubair,active,condensate,3698,1927,Basra Oil Company,45.115955,36.823822
IQ-OW-011,K-011,Kirkuk,active,sour crude,1821,2007,Missan Oil Company,40.926969,32.103857
IQ-OW-012,K-012,Kirkuk,active,light crude,2184,1937,Midland Oil Company,43.091403,37.356215
IQ-OW-013,EB-013,East Baghdad,planned,condensate,1777,1984,Demo Petroleum Co,42.822830,33.137207
IQ-OW-014,H-014,Halfaya,active,light crude,4601,1985,Demo Petroleum Co,44.073106,35.888738
IQ-OW-015,G-015,Gharraf,active,sour crude,3983,2001,North Oil Company,42.024159,32.590229
IQ-OW-016,M-016,Mansuriyah,active,sour crude,4928,1967,Iraq Drilling Company,42.990496,30.009483
IQ-OW-017,M-017,Mansuriyah,planned,condensate,4335,2017,Missan Oil Company,43.213639,30.272857
IQ-OW-018,BH-018,Bai Hassan,active,light crude,1773,1929,Iraq Drilling Company,44.834240,30.108386
IQ-OW-019,R-019,Rumaila,inactive,medium crude,2301,1958,Missan Oil Company,44.283570,30.860182
IQ-OW-020,K-020,Kirkuk,active,condensate,1851,2005,Demo Petroleum Co,42.614328,33.232395
IQ-OW-021,Z-021,Zubair,inactive,heavy crude,3139,1978,Iraq Drilling Company,47.662470,34.051271
IQ-OW-022,WQ-022,West Qurna,active,heavy crude,2336,2018,Midland Oil Company,45.298589,33.647971
IQ-OW-023,H-023,Halfaya,inactive,medium crude,5114,1938,North Oil Company,41.577786,35.354121
IQ-OW-024,M-024,Majnoon,active,condensate,3573,2014,Basra Oil Company,42.728972,32.689819
IQ-OW-025,K-025,Kirkuk,active,medium crude,3525,1970,North Oil Company,43.128192,36.702039
IQ-OW-026,N-026,Nassiriya,inactive,sour crude,1389,2009,Missan Oil Company,39.399470,34.128025
IQ-OW-027,M-027,Majnoon,planned,heavy crude,2604,1930,Demo Petroleum Co,44.553741,31.225061
IQ-OW-028,M-028,Mansuriyah,active,sour crude,2002,2018,Missan Oil Company,40.055638,35.879300
IQ-OW-029,BH-029,Bai Hassan,active,medium crude,1735,1950,Midland Oil Company,41.960113,35.844175
IQ-OW-030,EB-030,East Baghdad,planned,sour crude,1461,1952,North Oil Company,40.456649,30.091194
IQ-OW-031,N-031,Nassiriya,inactive,medium crude,2477,1962,Demo Petroleum Co,47.966676,29.682551
IQ-OW-032,AA-032,Al-Ahdab,active,medium crude,1497,1947,Basra Oil Company,41.924556,36.431799
IQ-OW-033,Q-033,Qayyarah,active,light crude,3987,2011,Iraq Drilling Company,45.537356,33.224583
IQ-OW-034,K-034,Kirkuk,active,light crude,3991,1977,Midland Oil Company,44.896759,36.586470
IQ-OW-035,WQ-035,West Qurna,active,light crude,3601,1935,Demo Petroleum Co,47.368081,29.543965
IQ-OW-036,Z-036,Zubair,active,sour crude,4166,1971,Missan Oil Company,42.745934,36.595710
IQ-OW-037,K-037,Kirkuk,planned,heavy crude,4540,1940,Missan Oil Company,45.237262,33.275040
IQ-OW-038,WQ-038,West Qurna,planned,heavy crude,2410,1983,Basra Oil Company,41.398494,32.502145
IQ-OW-039,M-039,Majnoon,active,light crude,2040,1983,Iraq Drilling Company,40.807273,36.789463
